feature,importance
log_impressions_90d,1.2598270643483305
log_clicks_90d,0.639061970011442
word_count,0.5241890631046933
content_age_days,0.38442976536733425
log_sessions_90d,0.3804979196770198
char_count,0.33562548636209466
avg_position,0.2686876363494507
days_since_last_update,0.23676105232177677
has_keyword_data,0.22139763875421578
word_count_tier_1000-2000,0.1944965315102693
scroll_rate,0.1758752078058656
age_tier_365+,0.13102459769989652
main_intent_unknown,0.08281368473549716
engagement_rate,0.08069651691364298
days_with_sessions,0.07694967139860047
age_tier_91-180,0.07640069131522417
content_type_keyword article,0.07468504036093035
competition,0.07438789661819505
freshness_tier_181+,0.06079250719858575
competition_level_LOW,0.05895181975940433
content_type_comparison article,0.057255275718255075
word_count_tier_3500+,0.051777992441144234
main_intent_transactional,0.05175264298452143
content_type_feedly article,0.050757285658076697
word_count_tier_2000-3500,0.049302530914019246
word_count_tier_unknown,0.046383145761756374
has_word_count,0.046383145761756374
char_count_tier_unknown,0.04638314576175337
log_ai_sessions_90d,0.04258612080858639
age_tier_31-90,0.039546643822824606
freshness_tier_31-90,0.03881253739778513
competition_level_HIGH,0.036707861675901975
competition_level_unknown,0.036398064336817144
ctr,0.0360662695643365
age_tier_181-365,0.03535452210526777
char_count_tier_25000+,0.034743079289934205
freshness_tier_0-30,0.034481136483708034
ai_traffic_pct,0.030537258066099443
char_count_tier_8000-15000,0.02862203372191959
main_intent_commercial,0.02525122397776381
search_volume,0.02016892738267256
main_intent_navigational,0.01970333428077181
freshness_tier_91-180,0.01787074693137351
competition_level_MEDIUM,0.017720896481499576
main_intent_informational,0.011149994436868886
char_count_tier_<8000,0.00898813463311868
word_count_tier_<1000,0.008200255991227956
days_with_impressions,0.0036115261374085944
char_count_tier_15000-25000,0.0015672629775158814
cpc,0.0006414173470464652
