feature,perm_importance_mean,perm_importance_std
log_impressions_90d,0.07429386900508542,0.005781729299317906
log_clicks_90d,0.06462338451047646,0.0031241304669298517
content_age_days,0.04126244351805471,0.002858069699620048
log_sessions_90d,0.029731613431803285,0.0015358712214448504
avg_position,0.01584261274210348,0.0024381019382324074
word_count,0.012977166153588727,0.002469074495181177
scroll_rate,0.006934601583001132,0.002341290421718409
char_count,0.004909996601021205,0.0015094344725586455
days_with_sessions,0.004294187198388033,0.00036387395016551123
competition_level_LOW,0.002980965508056721,0.00038403315396368386
competition_level_HIGH,0.0024755755031615977,0.00028981760593596877
has_keyword_data,0.0020026686092613375,0.0010958875218551813
freshness_tier_0-30,0.0015953917180815624,0.0002729791084238788
age_tier_365+,0.0015050753939011563,0.0013434264225320538
freshness_tier_91-180,0.0008344672042798873,0.00012927328289889475
engagement_rate,0.0007719137725651249,0.0008618782712170029
age_tier_181-365,0.0007704070956685349,0.000319427402528342
search_volume,0.00037202275903939206,0.00016833464516978353
log_ai_sessions_90d,0.00028740652018114374,0.00015614807738914156
age_tier_31-90,0.00024034130551551237,0.0002539917216472784
main_intent_navigational,0.00018053782254211502,0.00016842914567477294
competition_level_MEDIUM,0.000161593731212617,0.00015568380069522558
word_count_tier_3500+,0.00015717906254352209,0.00035365340642059596
competition_level_unknown,9.166495804590058e-05,0.0002132721044702023
ai_traffic_pct,8.260382426202861e-05,0.0001461535148742422
ctr,7.650336326107122e-05,0.00011650469415765634
char_count_tier_25000+,6.492407718148297e-05,6.798325976127305e-05
main_intent_unknown,5.844431290580321e-05,7.32368071452181e-05
freshness_tier_31-90,2.9827988072173018e-05,0.00043378831566250064
main_intent_commercial,4.899333964536456e-06,0.00014459212300759508
content_type_feedly article,0.0,0.0
content_type_comparison article,0.0,0.0
freshness_tier_181+,0.0,0.0
content_type_keyword article,0.0,0.0
word_count_tier_<1000,0.0,0.0
cpc,-7.111936400139296e-06,4.730332325754393e-06
char_count_tier_<8000,-1.0631027892926692e-05,2.5423680947206422e-05
char_count_tier_15000-25000,-1.4813900116372736e-05,1.8550670634363486e-05
days_with_impressions,-0.00011649878633489541,3.5738326844706684e-05
main_intent_informational,-0.0005018498409982031,6.768631130216172e-05
word_count_tier_2000-3500,-0.0005503585153479928,0.0005926765765422138
has_word_count,-0.0005691656360504949,0.00028873178323106553
char_count_tier_unknown,-0.0005691656360504949,0.00028873178323106553
word_count_tier_unknown,-0.0005691656360504949,0.00028873178323106553
char_count_tier_8000-15000,-0.0012241697103998694,0.00020982529416542638
age_tier_91-180,-0.0016161269637636976,0.0005930018098105238
main_intent_transactional,-0.0025130317015355174,0.0005591197964081265
competition,-0.0031676459364081257,0.0006960353150443257
word_count_tier_1000-2000,-0.004738087927977886,0.0011164244269672283
days_since_last_update,-0.0051087936617579596,0.001724729094486711
